kalshi_ticker,kalshi_title,polymarket_condition_id,polymarket_slug,polymarket_question,similarity_score,category,kalshi_category,polymarket_category,expiry_date,kalshi_expiry,polymarket_expiry,status,allow_auto_trade,resolution_match_status
KXBILLS-DRIVE,"Will legislation that preempts state and local autonomous vehicle laws by establishing a unified federal regulatory framework for the testing and deployment of vehicles equipped with automated driving systems become law before Jan 1, 2027?",0x58d735c94571661e7819362dc457b44062b6623e8cb018bb5ca5a52bffe5f897,will-the-self-drive-act-become-law-this-year,Will the SELF DRIVE Act become law this year?,0.7004,self,,self,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXBILLS-HOUS,"Will legislation that would revise federal housing programs to increase housing supply and affordability by expanding federal financing and grant authority for affordable housing and streamlining federal requirements that delay housing development become law before Jan 1, 2027?",0x28d6d12eac68223138afb976332da144b44a3ebcf71960b8a0efe4f21f4521c2,will-the-housing-for-the-21st-century-act-become-law-this-year,Will the Housing for the 21st Century Act become law this year?,0.6923,housing,,housing,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26LACOLR1-LA43,Will Los Angeles Kings win 4-3 in the Los Angeles Kings vs Colorado Avalanche 1st Round series in the 2026 NHL playoffs?,0x00cd5f773aa7040a76af5c6d3b0ab3a412b369d0c0539661c96d03318ecc101f,nhl-playoffs-who-will-win-series-avalanche-vs-kings,NHL Playoffs: Who Will Win Series? - Avalanche vs. Kings ,0.5436,,,,2026-05-17,2026-05-17,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26UTAVGK1ST-VGK43,Will Vegas Golden Knights win 4-3 in the Utah Mammoth vs Vegas Golden Knights 1st Round series in the 2026 NHL playoffs?,0x7a6b234c38988fa12fbe10ce8a255bf2eec249ee707f163e145fb26981726e81,nhl-playoffs-who-will-win-series-mammoth-vs-golden-knights,NHL Playoffs: Who Will Win Series? - Mammoth vs. Golden Knights ,0.5385,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26ANAEDMR1-EDM43,Will Edmonton Oilers win 4-3 in the Anaheim Ducks vs Edmonton Oilers 1st Round series in the 2026 NHL playoffs?,0xe76c96f5e64b5306ff2831fcfc26bbc9e14f550d3084d8fcad75191e2061526a,nhl-playoffs-who-will-win-series-ducks-vs-oilers,NHL Playoffs: Who Will Win Series? - Ducks vs. Oilers ,0.52,,,,2026-05-19,2026-05-19,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26MINDALR1-MIN43,Will Minnesota Wild win 4-3 in the Minnesota Wild vs Dallas Stars 1st Round series in the 2026 NHL playoffs?,0x1a6f9fce14d84886cc433691b36e4efc0f1f13be6fa8b595c8189006b62d7e76,nhl-playoffs-who-will-win-series-wild-vs-stars,NHL Playoffs: Who Will Win Series? - Wild vs. Stars ,0.52,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26BOSBUFR1-BUF43,Will Buffalo Sabres win 4-3 in the Boston Bruins vs Buffalo Sabres 1st Round series in the 2026 NHL playoffs?,0xb184753e4d72152316f64038e50f0d0580cc546a7c2497e517c1e190e5b326bc,nhl-playoffs-who-will-win-series-sabres-vs-bruins,NHL Playoffs: Who Will Win Series? - Sabres vs. Bruins ,0.52,,,,2026-05-17,2026-05-17,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26MTLTBR1-TB43,Will Tampa Bay Lightning win 4-3 in the Montreal Canadiens vs Tampa Bay Lightning 1st Round series in the 2026 NHL playoffs?,0x41c3c7bf8412216091308ca8e2935a819cc1ecf585f7f14a359d3431949546db,nhl-playoffs-who-will-win-series-canadiens-vs-lightning,NHL Playoffs: Who Will Win Series? - Canadiens vs. Lightning ,0.5,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26OTTCARR1-OTT43,Will Ottawa Senators win 4-3 in the Ottawa Senators vs Carolina Hurricanes 1st Round series in the 2026 NHL playoffs?,0x5d23c0cf3046d603c6aa2d19a728c309efe5ad456603db2ed4bc8a15d7f40201,nhl-playoffs-who-will-win-series-hurricanes-vs-senators,NHL Playoffs: Who Will Win Series? - Hurricanes vs. Senators ,0.5,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26MTLTBR1-6,Will there be over 5.5 total games in the Montreal Canadiens vs Tampa Bay Lightning 1st Round series in the 2026 NHL playoffs?,0xf6f1489fa180e25051b357a9f4f745b9f00f467ba71703bd74db662fd2c5a33d,nhl-playoffs-canadiens-vs-lightning-total-games-ou-5pt5,NHL Playoffs: Canadiens vs. Lightning Total Games O/U 5.5,0.4667,,,,2026-05-16,2026-05-16,2026-06-01,confirmed,False,pending_operator_review
